Date,Open,High,Low,Close,Adj Close,Volume
2020-07-27,657.000000,671.750000,642.799988,664.549988,652.156311,11521949
2020-07-28,670.000000,702.750000,667.000000,684.349976,671.587036,23296517
2020-07-29,686.950012,695.250000,671.000000,676.400024,663.785339,5436716
2020-07-30,680.000000,687.349976,669.549988,674.750000,662.166077,5126995
2020-07-31,678.450012,685.450012,673.500000,681.650024,668.937439,3114793
2020-08-03,685.950012,686.950012,669.549988,673.599976,661.037476,3092967
2020-08-04,675.000000,676.650024,650.200012,652.650024,640.478271,5559046
2020-08-05,655.000000,661.500000,642.549988,648.549988,636.454712,5139353
2020-08-06,656.000000,666.849976,649.150024,660.349976,648.034607,8644001
2020-08-07,657.750000,668.000000,654.400024,662.450012,650.095459,3823897
2020-08-10,668.000000,687.349976,662.700012,681.849976,669.133667,5362182
2020-08-11,690.099976,693.950012,672.099976,674.799988,662.215149,4331864
2020-08-12,675.000000,694.000000,672.650024,692.049988,679.143433,4355435
2020-08-13,695.900024,705.799988,684.299988,697.049988,684.050171,7108877
2020-08-14,692.000000,711.000000,692.000000,695.900024,682.921631,6476545
2020-08-17,704.799988,724.400024,698.650024,721.049988,707.602600,7657241
2020-08-18,725.000000,728.000000,710.200012,713.049988,699.751770,4752247
2020-08-19,715.000000,729.000000,709.000000,726.700012,713.147217,6506907
2020-08-20,720.000000,732.000000,716.200012,726.400024,712.852844,6610632
2020-08-21,731.000000,736.650024,730.000000,732.599976,718.937134,4207706
2020-08-24,734.950012,734.950012,719.250000,722.500000,709.025574,2385907
2020-08-25,727.000000,740.349976,714.349976,738.599976,724.825256,4585917
2020-08-26,740.950012,741.000000,727.000000,732.849976,719.182495,3157074
2020-08-27,735.000000,746.349976,732.450012,735.599976,721.881226,3207076
2020-08-28,741.000000,758.349976,740.000000,752.349976,738.318848,4223327
2020-08-31,759.700012,774.700012,732.099976,741.000000,727.180542,7224350
2020-09-01,739.000000,752.599976,722.700012,727.849976,714.275757,3563888
2020-09-02,730.150024,745.750000,728.150024,735.200012,721.488708,3467486
2020-09-03,739.950012,762.000000,733.099976,759.549988,745.384583,4606227
2020-09-04,747.000000,758.400024,743.549988,748.200012,734.246277,2954845
2020-09-07,749.700012,751.900024,734.049988,747.099976,733.166748,3367905
2020-09-08,748.500000,769.000000,745.000000,752.250000,738.220703,5237241
2020-09-09,751.950012,759.950012,744.700012,753.349976,739.300171,3038259
2020-09-10,756.650024,758.400024,739.299988,750.000000,736.012695,3737568
2020-09-11,749.400024,770.599976,747.500000,765.150024,750.880188,4917946
2020-09-14,770.150024,796.599976,770.000000,790.750000,776.002686,9021887
2020-09-15,790.750000,803.099976,775.000000,791.150024,776.395264,6339704
2020-09-16,792.000000,794.250000,784.000000,792.000000,777.229370,4279003
2020-09-17,788.000000,811.450012,781.299988,786.950012,772.273560,7591219
2020-09-18,793.000000,808.799988,788.000000,804.650024,789.643494,6281494
2020-09-21,807.000000,830.000000,784.299988,787.250000,772.567993,10789179
2020-09-22,793.000000,811.000000,772.000000,800.450012,785.521790,9053623
2020-09-23,812.450012,812.450012,783.099976,793.049988,778.259827,6091530
2020-09-24,787.950012,787.950012,747.549988,751.849976,737.828186,5929066
2020-09-25,755.049988,777.349976,748.650024,772.349976,757.945862,6986586
2020-09-28,779.349976,784.400024,772.000000,779.400024,764.864380,3604366
2020-09-29,785.000000,790.000000,764.000000,768.150024,753.824219,7041805
2020-09-30,773.000000,794.799988,765.650024,791.750000,776.984070,5433474
2020-10-01,798.200012,825.349976,797.849976,822.500000,807.160583,10104719
2020-10-05,822.549988,850.950012,821.849976,841.250000,825.560913,8551125
2020-10-06,854.950012,854.950012,832.500000,847.400024,831.596191,4902535
2020-10-07,847.000000,848.150024,837.250000,846.349976,830.565735,3943817
2020-10-08,862.000000,887.549988,857.650024,860.299988,844.255615,11398839
2020-10-09,860.500000,862.450012,845.250000,854.150024,838.220337,5306496
2020-10-12,861.000000,864.799988,848.400024,856.900024,840.919067,3343240
2020-10-13,856.900024,879.900024,851.000000,868.200012,852.008301,7327471
